param,index,val
skills,0,0.71552102427498865
skills,1,0.13888584025988462
skills,2,1.0656100130965778
skills,3,0.65856989773609786
skills,4,0.64906561214126968
skills,5,0.78457648103934186
skills,6,0.73931574742160244
skills,7,0.69803389149781214
skills,8,0.99632134669299721
skills,9,1.2995876615166364
skills,10,1.0011784444562211
skills,11,0.77639485991970425
difficulties,0,0.79872371719501556
difficulties,1,0.1561686847524158
difficulties,2,0.1561686847524158
difficulties,3,0.1561686847524158
difficulties,4,0.8638263989583651
difficulties,5,0.1561686847524158
difficulties,6,0.74168404035465707
difficulties,7,0.1561686847524158
difficulties,8,0.1561686847524158
difficulties,9,0.1561686847524158
difficulties,10,0.67567415590312785
difficulties,11,0.1561686847524158
difficulties,12,0.1561686847524158
difficulties,13,0.75125846035060562
difficulties,14,0.3012278250916498
difficulties,15,0.74923114036512184
difficulties,16,0.44174880480445805
difficulties,17,0.1561686847524158
difficulties,18,0.30504431875450566
difficulties,19,0.1561686847524158
difficulties,20,0.1561686847524158
difficulties,21,0.1561686847524158
difficulties,22,0.1561686847524158
difficulties,23,0.1561686847524158
difficulties,24,0.3012278250916498
difficulties,25,0.1561686847524158
difficulties,26,0.64791141477615688
difficulties,27,0.1561686847524158
difficulties,28,0.85145341263104579
difficulties,29,0.44046826565156783
difficulties,30,0.1561686847524158
difficulties,31,0.1561686847524158
difficulties,32,0.55067915512764409
difficulties,33,0.1561686847524158
difficulties,34,0.43312130083569217
difficulties,35,0.1561686847524158
difficulties,36,0.73432394030820058
difficulties,37,0.1561686847524158
difficulties,38,0.93510030080201079
difficulties,39,0.1561686847524158
difficulties,40,0.88472195581726021
difficulties,41,0.1561686847524158
difficulties,42,0.44180895171895213
difficulties,43,0.1561686847524158
difficulties,44,0.1561686847524158
difficulties,45,0.30508407378410513
difficulties,46,0.78728501029599884
difficulties,47,0.55067915512764409
difficulties,48,0.1561686847524158
difficulties,49,0.68903643966999728
difficulties,50,0.55173642577835391
difficulties,51,0.1561686847524158
difficulties,52,0.55319373903978741
difficulties,53,0.1561686847524158
difficulties,54,0.30468652613341862
difficulties,55,0.66350834126614211
difficulties,56,0.43226158274768917
difficulties,57,0.1561686847524158
difficulties,58,0.74353690230450376
difficulties,59,0.1561686847524158
difficulties,60,0.1561686847524158
difficulties,61,0.4410746413071896
difficulties,62,0.1561686847524158
difficulties,63,0.1561686847524158
difficulties,64,0.3012278250916498
difficulties,65,0.66568899821705108
difficulties,66,0.89438009772317928
difficulties,67,0.85145341263104579
difficulties,68,0.91859551680259666
difficulties,69,0.1561686847524158
difficulties,70,0.1561686847524158
difficulties,71,0.43765366793972621
difficulties,72,0.1561686847524158
difficulties,73,0.44539343016784055
difficulties,74,0.1561686847524158
difficulties,75,0.30326904822085465
difficulties,76,0.43317741483460581
difficulties,77,0.1561686847524158
difficulties,78,0.1561686847524158
difficulties,79,0.44113444361531479
difficulties,80,0.30468652613341862
difficulties,81,0.85255770099798289
difficulties,82,0.65241961305799456
difficulties,83,0.1561686847524158
difficulties,84,0.55885847737950178
difficulties,85,0.30479640587684492
difficulties,86,0.43317741483460581
difficulties,87,0.1561686847524158
difficulties,88,0.1561686847524158
difficulties,89,0.1561686847524158
difficulties,90,0.1561686847524158
difficulties,91,0.30508407378410513
difficulties,92,0.1561686847524158
difficulties,93,0.55929469103556839
difficulties,94,0.1561686847524158
difficulties,95,0.1561686847524158
difficulties,96,0.55800345721065991
difficulties,97,0.87842249790957128
difficulties,98,0.1561686847524158
difficulties,99,0.44502853035476625
difficulties,100,0.1561686847524158
difficulties,101,0.30286402380403382
difficulties,102,0.1561686847524158
difficulties,103,0.8421463193977814
difficulties,104,0.44046826565156783
difficulties,105,0.76532052559355079
difficulties,106,0.80103870525924303
difficulties,107,0.44864606084181424
difficulties,108,0.83374760809666504
difficulties,109,0.91107602772325202
difficulties,110,0.73082672816442662
difficulties,111,0.8372015546563405
difficulties,112,0.44081921142165897
difficulties,113,0.30508407378410513
difficulties,114,0.30638847856821566
difficulties,115,0.90686989812004715
difficulties,116,0.90506700673215623
difficulties,117,0.9310644536260354
difficulties,118,0.30286402380403382
difficulties,119,0.1561686847524158
difficulties,120,0.1561686847524158
difficulties,121,0.30286402380403382
difficulties,122,0.66082236661474603
difficulties,123,0.56815255748840965
difficulties,124,0.1561686847524158
difficulties,125,0.93988673478024376
difficulties,126,0.44113444361531479
difficulties,127,0.43675067432911246
difficulties,128,0.55800345721065991
difficulties,129,0.56080990524620444
difficulties,130,0.82043612269006372
difficulties,131,0.1561686847524158
difficulties,132,0.1561686847524158
difficulties,133,0.1561686847524158
difficulties,134,0.43706972661543569
difficulties,135,0.30638847856821566
difficulties,136,0.81044713525333101
difficulties,137,0.54630320335932403
difficulties,138,0.3012278250916498
difficulties,139,0.55786765877518973
difficulties,140,0.9245905982296464
difficulties,141,0.1561686847524158
difficulties,142,0.69001355300424405
difficulties,143,0.1561686847524158
difficulties,144,0.92412136611728901
difficulties,145,0.30326904822085465
difficulties,146,0.67664975902214375
difficulties,147,0.43675067432911246
difficulties,148,0.56585562631171349
difficulties,149,0.44442512698525927
difficulties,150,0.1561686847524158
difficulties,151,0.43947849297630526
difficulties,152,0.1561686847524158
difficulties,153,0.67434320918578761
difficulties,154,0.3048743324681219
difficulties,155,0.30446946995358332
difficulties,156,0.1561686847524158
difficulties,157,0.65336014658828001
difficulties,158,0.1561686847524158
difficulties,159,0.56767917701655446
difficulties,160,0.74611548422491014
difficulties,161,0.82480248917159804
difficulties,162,0.57107194441297471
difficulties,163,0.3012278250916498
difficulties,164,0.30450954996110297
difficulties,165,0.4440891450201026
difficulties,166,0.56182103650625514
difficulties,167,0.87790282632153549
difficulties,168,0.3048743324681219
difficulties,169,0.57366450529112545
difficulties,170,0.30508407378410513
difficulties,171,0.66391605189222191
difficulties,172,0.1561686847524158
difficulties,173,0.72876420163563671
difficulties,174,0.67388510505932708
difficulties,175,0.1561686847524158
difficulties,176,0.1561686847524158
difficulties,177,0.1561686847524158
difficulties,178,0.44442512698525927
difficulties,179,0.1561686847524158
difficulties,180,0.7579350961872372
difficulties,181,0.30479640587684492
difficulties,182,0.7564003595634804
difficulties,183,0.3012278250916498
difficulties,184,0.73228809284615692
difficulties,185,0.1561686847524158
difficulties,186,0.56585562631171349
difficulties,187,0.65653550443824793
difficulties,188,0.30446946995358332
difficulties,189,0.1561686847524158
difficulties,190,0.43675067432911246
difficulties,191,0.44031563952434688
difficulties,192,0.3048743324681219
difficulties,193,0.44031563952434688
difficulties,194,0.74245328825007051
difficulties,195,0.30508407378410513
difficulties,196,0.75890549358805248
difficulties,197,0.30329719580679732
label,0,0.5
